Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Glenn J. Winuk	Firefighter	JERICHO FIRE DEPARTMENT	9/11/2001	19 Bottom
Abe Dias	Firefighter	HAVERSTRAW FIRE DEPARTMENT	1/8/1906	20 Bottom
Todd Smith	Firefighter	NEW PALTZ FIRE DEPARTMENT	2/6/2005	21 Bottom
Adam D. Rand	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
Joseph E. Piazzi	Deputy Chief	BRIARCLIFF MANOR FIRE DEPARTMENT	5/16/2007	  2 Top
Adam Fisher	Captain	BUFFALO FIRE DEPARTMENT	01/23/1891	14 Bottom
Adolph L. Wiemer	Hoseman	ROCHESTER FIRE DEPARTMENT	5/20/1939	17 Top
Charles D. Pickard	Firefighter	MARILLA FIRE DEPARTMENT	1/21/1985	12 Top
William J. Ford	Captain	BINGHAMTON FIRE DEPARTMENT	10/29/1915	   2 Top
William Ewing	Hoseman	COHOES FIRE DEPARTMENT	3/24/1930	   1 Bottom
Alan D. Feinbert	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	10 Top
Alan E. Jones	Firefighter	NEW ROCHELLE FIRE DEPARTMENT	10/8/1983	12 Top
Peter E. Hotaling	Firefighter	CLAVERACK FIRE DEPARTMENT	10/5/2005	   4 Top
Stephen E. Belson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  9 Bottom
Christopher W. Dill	Firefighter	BUFFALO FIRE DEPARTMENT	4/4/2005	   1 Bottom
Ernest Starrett	Firefighter	HUDSON FALLS FIRE DEPARTMENT	1/16/1910	21 Top
Albert F. Fischer	Firefighter	WILLISTON PARK FIRE DEPARTMENT	1/1/1982	12 Top
Peter Lund	Firefighter	WOODMERE FIRE DEPARTMENT	6/14/2005	   4 Bottom
Albert F. Schrempf	Lieutenant	SYRACUSE FIRE DEPARTMENT	1/12/1961	12 Bottom
Albert G. Young	Lieutenant	SYRACUSE FIRE DEPARTMENT	2/3/1939	17 Top
"Albert J. DeFlumere, Jr."	Ex-Chief	BLAUVELT FIRE COMPANY	10/26/1996	10 Top
Albert M. Weeks	Past Chief	SAYVILLE FIRE DEPARTMENT	6/1/1993	10 Top
Albert Mack	Firefighter	RUSH FIRE DEPARTMENT	12/29/1959	13 Top
William R. McAnally	Firefighter	OSSINING FIRE DEPARTMENT	6/22/2005	19 Top
Albert Sipple	Lieutenant	BELLMORE FIRE DEPARTMENT	7/16/1997	10 Top
John P. McConnell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/4/1908	  6 Bottom
Francis J. Hehar	Firefighter	BINGHAMTON FIRE DEPARTMENT	09/26/1898	   3 Bottom
Alexander McKay	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
Alfons Richter	Firefighter	EAST ISLIP FIRE DEPARTMENT	12/21/1947	15 Top
Alfred A. Wohrman	Firefighter/Commissioner	BEEKMAN VOLUNTEER FIRE DEPARTMENT	4/16/2005	20 Bottom
Alfred Bauman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/22/1896	14 Bottom
Jeffrey L. Wiener	Firefighter	LYNBROOK FIRE DEPARTMENT	5/7/2005	19 Bottom
Alfred E. Ronaldson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/5/1991	11 Top
Alfred F. Shoesmith	2nd Assistant Foreman	JAMESTOWN FIRE DEPARTMENT	3/16/1910	10 Bottom
James J. O’Neil	Firefighter	HEMPSTEAD FIRE DEPARTMENT	6/14/2005	21 Top
Jason D. Hasenauer	Firefighter	HILTON FIRE DEPARTMENT	12/28/2005	   2 Top
Alfred J. Hynes     	Firefighter    	OGDENSBURG FIRE DEPARTMENT        	10/25/1934	10 Bottom
Alfred M. Knecht	Captain	NEW YORK CITY FIRE DEPARTMENT	3/1/1982	12 Top
E. Timothy Parsell	Captain	COLLINS FIRE DEPARTMENT	11/4/2005	18 Bottom
"Alston F. Hill, Sr."	Firefighter	JAMISON ROAD FIRE DEPARTMENT	3/28/1991	11 Top
Andrew B. George	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/3/1939	17 Top
Andrew C. Brunn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
Andrew C. Schenck	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
"Andrew Harcher, Jr."	Firefighter	WALLKILL FIRE COMPANY	2/21/1982	12 Top
Andrew J. Desperito	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	13 Bottom
Andrew K. Wright	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/4/1955	14 Top
Andrew L. Milyko	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/1/1953	14 Top
"Andrew S. Usyk, Sr."	Firefighter	SCHUYLER FIRE DEPARTMENT	3/3/1983	12 Top
"Angel C. Juarbe, Jr. "	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
Anthony A. Kaiser	Firefighter	NARROWSBURG FIRE DEPARTMENT	3/17/2007	19 Bottom
Anthony Capozzi	Firefighter	HY-VIEW FIRE DEPARTMENT	1/7/1987	11 Top
Anthony Carracciolo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/08/1855	18 Bottom
Anthony Ceravolo	Firefighter	WARWICK FIRE DEPARTMENT	1/1/1994	10 Top
Anthony F. Eisele	Chief	ROOSEVELT FIRE DEPARTMENT	6/16/1957	15 Top
Anthony Galatifore	Ex-Chief	SELDEN FIRE DEPARTMENT	9/3/1979	10 Bottom
Anthony J. LeoGrande	Firefighter	ONEONTA FIRE DEPARTMENT	9/8/1982	12 Top
Anthony J. Waskielewicz	Firefighter	BUFFALO FIRE DEPARTMENT	12/27/1983	12 Top
Anthony Jireck	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	1/27/1945	15 Top
Anthony M. Jovic	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Anthony P. Longa	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/31/1957	13 Top
Anthony R. Martucci	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	3/9/1961	12 Bottom
Anthony Sands	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/20/1984	12 Top
Antonio C. Rodriques 	Firefighter 	YONKERS FIRE DEPARTMENT 	7/31/2012	14 Top
Antonio J. Assante	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/31/1952	14 Top
Armand Santacroce	Firefighter	NEWBURGH FIRE DEPARTMENT	2/23/1952	14 Top
Arnold N. Hafner	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/31/1955	14 Top
Arthur A. Poole	Firefighter	BUFFALO FIRE DEPARTMENT	07/10/1878	20 Top
Arthur C. Smith	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/5/1951	14 Top
"Arthur Cassell, Jr."	Firefighter	NEWTON FALLS FIRE DEPARTMENT	11/5/1983	12 Top
Arthur E. Sink 	Firefighter 	LAURELTON FIRE DEPARTMENT 	8/27/1952	20 Bottom
Arthur G. Hanson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/4/1956	13 Top
Arthur J. Dillon	Chief	BINGHAMTON FIRE DEPARTMENT	3/7/1946	10 Bottom
Arthur J. Evans	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/25/1852	18 Bottom
Arthur K. Tuck	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/9/1993	10 Top
"Arthur Kuss, Jr."	Firefighter	ISLAND PARK FIRE DEPARTMENT	11/3/1962	11 Top
Arvid Wallin	Firefighter	BEUKENDAAL FIRE DEPARTMENT	2/25/1956	18 Top
Asa F. Barnes	Firefighter	OSSINING FIRE DEPARTMENT	2/3/1957	13 Top
August L. Cowdrey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	07/19/1845	19 Bottom
Augustine Halley	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	5/18/1956	13 Top
Barend Geel	Battalion Chief	ALBANY FIRE DEPARTMENT	2/9/1946	15 Top
Barry Brown	Captain	NEW YORK CITY FIRE DEPARTMENT	7/22/1982	12 Top
Bartholomew V. Foley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/19/1965	11 Bottom
Benjamin Nelson	Firefighter	HAVERSTRAW FIRE DEPARTMENT	1/8/1906	16 Top
Benjamin Parcell	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/28/1941	17 Top
Bernard A. Tepper	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
Bernard Bamer	Hoseman	ALBANY FIRE DEPARTMENT	12/19/1892	14 Bottom
Bernard Blumenthal	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/14/1958	13 Top
Bernard D. Scannell	Firefighter/Fire Police	WATERLOO FIRE DEPARTMENT	9/21/2000	19 Bottom
Bernard Delmar	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/6/1951	14 Top
Bernard E. Meany	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/19/1952	14 Top
Bernard Goldman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/30/1962	12 Bottom
"Bernard J. Callahan, Jr."	Firefighter	WHITE PLAINS FIRE DEPARTMENT	7/31/1954	14 Top
Bernard J. Spillman	Lieutenant	ROCHESTER FIRE DEPARTMENT	9/12/1986	11 Top
"Bernard McGuire, Jr."	Firefighter	BRIGHTON FIRE DEPARTMENT	1/1/1947	15 Top
Bernard P. McGreavy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/15/1944	16 Top
Bernard Tully	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/17/1957	13 Top
Bertram Butler	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/17/1941	17 Top
Beverly H. Pratt	Firefighter	PORT HENRY FIRE DEPARTMENT	5/17/1956	21 Bottom
Bradley P. Golden	Firefighter	LAIRDSVILLE FIRE DEPARTMENT	9/25/2001	15 Top
"Brian D. Myers, Sr."	Firefighter	SCHUYLERVILLE FIRE DEPARTMENT	1/1/1997	10 Top
Brian E. Bilcher	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
Brian G. Ahearn	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	14 Bottom
Brian T. Dillon	Firefighter	BUFFALO FIRE DEPARTMENT	1/28/1991	11 Top
Bruce A. Rhinehart	Lieutenant	JAMESTOWN FIRE DEPARTMENT	10/27/1990	11 Top
Bruce B. Baldwin	Firefighter	ALBION FIRE DEPARTMENT	11/6/1974	20 Bottom
"C. Clifford Preisigke, III"	Firefighter	BUFFALO FIRE DEPARTMENT	4/13/1985	12 Top
Carl Aschenbrenner	Chief	BUCHANAN FIRE DEPARTMENT	1/1/1961	13 Top
Carl H. Bischoff	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/5/1941	17 Top
Carl Lee	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
Carmen Russo	Firefighter	ROCHESTER FIRE DEPARTMENT	3/10/1987	11 Top
Ceasar J. Macari	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/24/1939	17 Top
Charles A. Cook	Firefighter	TROY FIRE DEPARTMENT	7/27/1900	13 Bottom
Charles A. Dunbar	Firefighter	ROCHESTER FIRE DEPARTMENT	2/6/1949	15 Top
Charles A. Hickey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/22/1945	16 Top
"Charles A. Stenvall, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/16/1940	17 Top
Charles A. Widdowson	Captain	ROCHESTER FIRE DEPARTMENT	4/29/1932	20 Top
Charles B. Elliott	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/08/1855	18 Bottom
Charles B. Osborn	Firefighter	VALATIE FIRE DEPARTMENT	06/01/1860	17 Bottom
Charles Boynton	1st Assistant Chief	SYRACUSE FIRE DEPARTMENT	2/6/1939	17 Top
Charles Brady	Firefighter	ALBANY FIRE DEPARTMENT	3/7/1953	14 Top
Charles Conklin	Ex-Captain	SEA CLIFF FIRE DEPARTMENT	1/23/1959	14 Top
Charles D. Bangel	Firefighter	PATCHOGUE FIRE DEPARTMENT	7/21/1934	19 Top
Charles E. Bentley	Firefighter	ELMIRA FIRE DEPARTMENT	01/01/1888	15 Bottom
"Charles E. H. Lauber, Jr."	Commissioner	SMITHTOWN FIRE DEPARTMENT	12/24/2000	14 Bottom
Charles E. Marshall	Foreman	ALBANY FIRE DEPARTMENT	12/19/1892	14 Bottom
Charles Elliott	Firefighter	BRENTWOOD FIRE DEPARTMENT	5/11/1952	14 Top
Charles F. Daley	Firefighter	OSWEGO FIRE DEPARTMENT	8/26/1944	10 Bottom
Charles F. Hale	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/12/1962	12 Bottom
Charles F. Moody	Firefighter	ONEIDA FIRE DEPARTMENT	8/8/1959	13 Top
Charles G. Lang	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/22/1961	12 Bottom
Charles G. Rappe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/18/1932	20 Top
Charles H. Beadle	Captain	WALTON FIRE DEPARTMENT	11/20/1993	10 Top
Charles H. Vandecar    	Firefighter    	TROY FIRE DEPARTMENT   	8/30/1922	21 Bottom
Charles J. Boll	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/20/1959	13 Top
Charles J. Connolly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	03/14/1878	16 Bottom
Charles J. Franck	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/14/1965	11 Bottom
Charles J. Ginter	Firefighter	ONEIDA FIRE DEPARTMENT	8/30/1941	17 Top
